AREA	PERIMETER	COUNTY	STATE	ID	CNTY_AREA	xaxis	yaxis
443.503	107.751	STRAFFORD	New Hampshire	33017	400.4	2894.63953098000	1605.94122316000
1986.363	191.914	HAMILTON	New York	36041	1793.1	2710.40120613000	1588.08968923000
1543.532	174.784	STEARNS	Minnesota	27145	1393.4	1661.23355866000	1605.79872204000
404.792	96.439	CHARLEVOIX	Michigan	26029	423.0	2152.35391666000	1610.77570991000
36269.441	853.861	SWEETWATER	Wyoming	56037	32741.2	909.41711002800	1461.17726258000
1061.890	158.646	RUTLAND	Vermont	50021	958.6	2786.85773323000	1599.80951318000
628.994	100.916	STEVENS	Minnesota	27149	567.8	1590.66325794000	1607.99592699000
800.098	114.995	POPE	Minnesota	27121	722.3	1618.82531697000	1607.99657762000
510.303	97.047	ISANTI	Minnesota	27059	460.7	1728.54708972000	1607.84518191000
443.436	107.444	CHISAGO	Minnesota	27025	400.3	1747.92379440000	1603.85249900000
1041.240	150.798	POLK	Wisconsin	55095	940.0	1771.63382983000	1600.75137464000
1250.941	164.818	ALPENA	Michigan	26007	1129.3	2213.49132399000	1603.85333925000
3161.621	248.960	JACKSON	Oregon	41029	2854.1	177.57269921900	1584.62995911000
1400.279	165.406	LEWIS	New York	36049	1264.1	2660.08601212000	1586.27038348000
1023.739	147.463	MERRIMACK	New Hampshire	33013	924.2	2861.53937845000	1597.10439100000
2642.502	225.428	DEWEY	South Dakota	46041	2385.4	1340.99121188000	1591.48864222000
1002.684	126.896	BARRON/DALLAS	Wisconsin	55005	905.1	1802.59588174000	1599.92755769000
14321.435	615.951	ONEIDA	Idaho	16071	12928.3	752.24753611100	1510.13510833000
827.061	123.630	WALWORTH	South Dakota	46129	746.6	1384.02872500000	1601.18364548000
1628.339	241.134	HERKIMER	New York	36043	1469.9	2690.53763855000	1565.33265008000
579.252	99.041	OTSEGO	Michigan	26137	522.9	2176.55664852000	1598.47766156000
1283.918	151.994	EDMUNDS	South Dakota	46045	1147.4	1425.79787425000	1598.68429278000
938.203	165.779	WASHINGTON	New York	36115	846.9	2770.75290049000	1576.68866305000
997.858	151.519	WARREN	New York	36113	900.8	2745.36331244000	1588.74734231000
628.975	124.717	SULLIVAN	New Hampshire	33019	567.8	2832.63811112000	1594.55235093000
576.723	117.713	ANTRIM	Michigan	26009	520.6	2148.98328035000	1594.04222557000
963.478	138.388	GRANT	South Dakota	46051	869.8	1552.73853036000	1582.25998102000
562.662	120.170	BIG STONE	Minnesota	27011	507.9	1570.30757706000	1596.19328515000
491.373	102.335	SHERBURNE	Minnesota	27141	443.6	1703.97235248000	1598.90930718000
389.058	105.454	LEELANAU	Michigan	26089	351.2	2117.02481878000	1584.72361918000
10629.613	424.396	JOHNSON	Wyoming	56019	9595.6	1018.59562125000	1546.52973606000
519.161	150.926	DOOR	Wisconsin	55029	468.7	2036.18605291000	1576.32238333000
799.258	141.854	ROCKINGHAM	New Hampshire	33015	721.5	2895.77834819000	1582.71038956000
1077.845	139.724	TAYLOR	Wisconsin	55119	973.0	1872.74823737000	1587.39480905000
505.990	100.178	ANOKA	Minnesota	27003	456.8	1731.50804629000	1587.01649548000
800.331	127.108	WRIGHT	Minnesota	27171	722.5	1694.87869633000	1578.91580934000
8561.294	432.831	OWYHEE	Idaho	16073	7728.5	522.02212172300	1508.63298047000
825.680	125.961	SWIFT	Minnesota	27151	745.4	1606.95639754000	1585.88054037000
957.491	127.415	KANDIYOHI	Minnesota	27067	864.3	1641.57271810000	1576.44420558000
764.260	108.569	ALCONA	Michigan	26001	689.9	2230.72087872000	1580.60630772000
11416.519	427.419	CROOK	Wyoming	56011	10305.9	1118.67118340000	1535.60783540000
47.782	54.860	YELLOWSTONE NAT. PARK-P	Idaho	16088	42.7	808.57949797300	1580.81717441000
563.261	134.910	GRAND TRAVERSE	Michigan	26055	508.5	2129.97816852000	1568.08394961000
620.305	99.635	OSCODA	Michigan	26135	560.0	2203.58357502000	1577.02006622000
703.466	114.550	MEEKER	Minnesota	27093	635.0	1666.12354233000	1574.55759703000
426.991	107.808	WASHINGTON	Minnesota	27163	385.5	1750.38879526000	1569.76945118000
860.114	127.502	POTTER	South Dakota	46107	768.7	1383.87681158000	1574.60972741000
633.366	100.671	CRAWFORD	Michigan	26039	571.8	2178.97233635000	1574.20184003000
1017.668	154.458	HILLSBOROUGH	New Hampshire	33011	918.7	2866.72701876000	1569.85784179000
1244.167	149.416	FAULK	South Dakota	46049	1123.1	1425.79479272000	1573.39883070000
1379.661	179.989	SHAWANO	Wisconsin	55115	1245.5	1962.63491438000	1566.35664965000
627.813	100.704	KALKASKA	Michigan	26079	566.7	2154.24356115000	1571.68092753000
1619.351	217.472		South Dakota	46157	1447.2	1205.16004745000	1566.97409971000
1669.901	165.264	SPINK	South Dakota	46115	1507.5	1469.28750386000	1562.41933568000
996.387	130.783	DUNN	Wisconsin	55033	899.5	1801.55176975000	1565.12360631000
816.205	123.609	LAC QUI PARLE	Minnesota	27073	736.8	1581.69506497000	1565.34226067000
1774.578	176.634	MARATHON	Wisconsin	55073	1602.0	1912.34130771000	1566.61500767000
664.030	110.789	HENNEPIN	Minnesota	27053	599.4	1720.13600598000	1567.26220995000
1301.826	177.556	CLARK	South Dakota	46025	1175.2	1501.88947800000	1560.32832580000
