NAME,UNFIPS,GP,OAT_XH_A,OAT_XH_B,WHT_XH_A,WHT_XH_B,BAR_XH_A,BAR_XH_B,RYE_XH_A,RYE_XH_B,BWT_XH_A,BWT_XH_B,EMM_XH_A,EMM_XH_B,FLX_XH_A,FLX_XH_B,HAY_XH_A,HAY_XH_T,HAY_KS_A,HAY_KR_A,HAY_KL_A,HAY_KW_A,HAY_KT_A,HAY_KM_A,HAY_KA_A,HAY_KG_A,HAY_KG_T,CRN_AH_A,CRN_GH_A,CRN_GH_B,SRG_AS_A,SRG_KK_A,BEA_XH_A,BEA_XH_B,PEA_XH_A,PEA_XH_B,PNT_XH_A,PNT_XH_B,CRN_FC_A,CRN_FC_T,SRG_FH_A,SRG_FC_T,POT_XH_A,POT_XH_B,VEG_XH_A,COT_XH_A,COT_XH_C,BET_XH_A,BET_XH_T,FRM_XX_Q,FRM_XD_Q,FRM_XE_Q,FRM_NW_Q,FRM_LW_Q,FRM_XN_Q,FRM_SA_Q,FRM_SB_Q,FRM_SC_Q,FRM_SD_Q,FRM_SE_Q,FRM_SF_Q,FRM_SG_Q,FRM_SH_Q,FRM_SI_Q,FRM_SL_Q,ARE_XX_A,FML_XX_A,IML_XX_A,WOD_XX_A,UNL_XO_A,UNL_XX_A,FRM_OF_Q,FML_OF_A,IML_OF_A,FRM_OB_Q,FRM_OP_Q,FRM_ON_Q,FRM_MX_Q,FML_MX_A,IML_MX_A,FRM_TX_Q,FML_TX_A,IML_TX_A,FRM_TT_Q,FRM_TM_Q,FRM_TH_Q,FRM_TC_Q,FRM_TB_Q,FRM_TU_Q,FRM_TN_Q,FRM_IX_Q,FML_IX_A,DRA_EX_Q,DRA_ED_A,DRA_EX_A,DRA_EG_A,DRA_KE_A,DRA_WI_A,DRA_WJ_A,DRA_WK_A,DRA_WL_A,DRA_WM_A,DRA_WS_A,DRA_QA_A,DRA_QB_A,DRA_QC_A,DRA_QD_A,DRA_QE_A,DRA_QF_A,DRA_QG_A,DRA_QH_A,DRA_QJ_A,DRA_QK_A,DRA_QI_A,DRA_QL_A,PRP_XA_V,IMP_XX_V,PRP_OF_V,PRP_MX_V,PRP_TX_V,PRP_XX_V,FRT_RX_Q,FRT_XX_V,DRA_WT_M,DRA_IE_H,DRA_JE_G,DRA_WI_M,DRA_WK_M,HRS_XX_Q,MUL_XX_Q,CTL_XX_Q,CTL_HV_Q,CTL_MX_Q,SHP_XX_Q,SWN_XX_Q,CHK_XX_Q,MLK_XX_G,BUT_XX_P,CHS_XX_P,EGG_XX_D,WOL_XX_P,HRS_XN_Q,CTL_XN_Q,CTL_MN_Q,SHP_XN_Q,SWN_XN_Q,FML_XX_V,BLD_XX_V,STK_XX_V,CRO_XX_V,CER_XX_V,OGS_XX_V,HAY_XX_V,VEG_XX_V,FRU_XX_V,OFC_XX_V
CREEK,40037,0,10285,263706,2747,35674,105,1929,27,599,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,17617,20285,8,27,1768,721,7486,1546,82,58,203,37045,36538,778234,7888,2486,Not published for this unit,Not published for this unit,31,625,61,1459,507,638,5402,7151,247,16254,179,61712,22093,Not published for this unit,Not published for this unit,2777,2715,62,1983,8,786,8,9,31,563,868,1039,116,105,25,13,615680,341343,166342,148910,26091,175001,652,100285,44624,488,164,145,14,7653,3017,2111,233405,118701,1166,282,16,647,0,0,640,Combined with 'all other',Combined with 'all other',Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,17391499,700114,4074795,302000,9660270,14037065,19,3357,Not available,Not available,Not available,Not available,Not available,8603,4504,27546,3388,10762,110,16568,106384,1125146,235908,0,351601,1314,1606,2182,1478,3,1236,12332065,1705000,2654320,6178571,1382455,6344,325252,205160,90713,4168647
CUSTER,40039,1,19613,514258,158252,2437619,945,21188,7423,91093,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,39557,59770,0,32,6166,10253,2566,378,66,592,2030,35461,33050,827982,56665,39572,Not published for this unit,Not published for this unit,42,212,21,277,2411,3665,17093,27651,342,27195,23,3825,1156,Not published for this unit,Not published for this unit,2394,2341,53,2185,138,71,3,23,32,57,131,1013,329,673,117,16,638720,589374,363041,5104,221229,226333,1497,393016,235797,986,511,61,12,8006,3825,885,188352,123419,638,52,61,133,1,0,10,Combined with 'all other',Combined with 'all other',Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,26261824,1327525,14013835,241500,6931670,21187005,7,2451,Not available,Not available,Not available,Not available,Not available,15274,3448,34654,4656,15794,4697,21735,206851,2585206,259252,170,700429,25150,440,792,638,5,765,18159610,3027395,3747294,9215772,7705001,58283,940126,186584,46449,279329
DELAWARE,40041,0,25738,513828,44620,481259,53,463,83,495,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,16182,19853,2124,236,351,655,5292,1540,577,201,436,33816,31301,568054,1820,367,Not published for this unit,Not published for this unit,72,254,10,238,2515,2312,1453,2469,645,46965,13,382,157,Not published for this unit,Not published for this unit,2176,2126,50,1844,13,319,1,17,104,499,656,508,222,131,31,7,508160,251671,138207,104662,8802,113464,1499,180500,97519,1194,305,275,11,3494,1741,666,67677,38947,448,65,6,101,0,46,44,Combined with 'all other',Combined with 'all other',Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,12088403,551812,6896103,179950,2484616,9560669,64,7036,Not available,Not available,Not available,Not available,Not available,7105,3463,19792,2736,6303,2249,27624,135855,919510,196990,177,548115,6148,252,691,236,0,827,7927138,1633531,1975922,2991172,2214224,3029,326877,273956,122296,50790
DEWEY,40043,1,10399,267108,85877,826634,529,10633,5580,50233,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,31521,45083,0,41,1292,9644,3931,479,107,853,3851,47789,45634,1180898,64716,51722,Not published for this unit,Not published for this unit,20,173,13,164,2155,3057,12994,19472,236,13183,52,316,106,Not published for this unit,Not published for this unit,2031,1991,40,1929,77,25,0,4,13,30,100,800,296,627,126,35,632960,557638,252246,38290,267102,305392,1256,374114,161789,771,485,15,15,8698,2039,760,174826,88418,426,23,84,227,0,0,10,Combined with 'all other',Combined with 'all other',Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,16612782,957881,8380980,145400,4251909,12778289,13,6102,Not available,Not available,Not available,Not available,Not available,12560,3558,33122,4223,12206,3169,17375,127308,2090624,194361,350,430847,17385,276,378,303,228,436,10825099,1953190,2876612,5584481,4572041,24139,661658,122288,68013,136342
ELLIS,40045,1,11313,323002,79823,776467,1257,27517,4206,39574,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,41490,59216,30,99,1684,2311,7494,715,147,472,1550,20747,19464,316073,128461,101206,Not published for this unit,Not published for this unit,45,372,8,221,1283,1933,27255,40916,130,6637,69,14,4,Not published for this unit,Not published for this unit,1858,1791,67,1678,180,0,0,9,12,28,73,543,269,680,195,49,779520,727722,344100,2815,380807,383622,1343,553337,257855,806,537,0,5,21346,980,510,153039,85265,405,25,15,65,0,0,0,Combined with 'all other',Combined with 'all other',Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,18883832,948602,11065344,121144,3361605,14548093,134,26141,Not available,Not available,Not available,Not available,Not available,12048,2764,40448,5651,12478,1349,12338,166070,1992015,176351,185,660880,3674,211,345,218,12,644,12378898,2169195,3387137,5734536,4433163,32266,852929,78831,62420,274927
GARFIELD,40047,1,41574,1064599,324285,4649222,1141,29927,652,7608,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,39642,62923,0,46,16547,4584,9679,583,207,840,3347,9449,8655,144782,12078,5725,Not published for this unit,Not published for this unit,0,0,1,13,794,1174,6353,9497,389,28025,123,92,24,Not published for this unit,Not published for this unit,3089,3009,80,2735,336,18,2,34,39,68,176,1499,422,801,45,3,679040,652703,490978,9427,152298,161725,1753,383675,285092,1304,449,16,15,3510,2311,1321,265518,203575,706,58,426,131,0,0,2,Combined with 'all other',Combined with 'all other',Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,56595025,3253202,28727485,341000,20155715,49224200,20,5388,Not available,Not available,Not available,Not available,Not available,18310,5469,38025,4979,9952,4492,11042,268258,2757901,281848,205,1098601,26786,789,766,581,0,457,43502148,5722052,4117623,12596763,11118732,3352,1203933,184784,81423,4539
GARVIN,40049,0,19776,669263,14958,232434,444,12625,82,1053,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,30519,46849,0,31,9102,4332,3020,2757,209,63,226,54723,54557,1613522,11785,988,Not published for this unit,Not published for this unit,27,396,178,3872,166,232,10797,13612,326,29256,11,95605,40964,Not published for this unit,Not published for this unit,3823,3737,86,3515,14,294,8,33,96,707,1253,1160,366,147,44,9,525440,437827,283454,81976,72397,154373,1591,209512,123556,1210,381,189,9,3790,1465,2223,224525,158433,1665,215,50,292,1,0,105,Combined with 'all other',Combined with 'all other',Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,28121825,1025187,10866661,323900,12638880,23829441,17,3927,Not available,Not available,Not available,Not available,Not available,9767,7932,24690,3472,15361,1122,22899,172743,1821969,587388,105,622585,3271,805,1527,920,0,1192,21085863,2743578,3267197,13349950,3253295,12028,883322,339606,311959,8549740
GRADY,40051,1,17393,554129,67008,952537,866,23485,927,14542,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,49477,79695,12,145,10752,3355,1679,2190,307,213,1314,111008,110526,2872792,33459,3214,Not published for this unit,Not published for this unit,53,484,341,4400,482,570,30245,40871,339,25488,1774,48900,18757,Not published for this unit,Not published for this unit,3484,3403,81,3336,78,70,3,20,42,239,780,1436,522,349,72,21,711680,573272,388763,75765,108744,184509,1559,275426,176402,1290,269,45,39,19996,10826,1886,277850,201535,1250,129,40,462,0,5,25,Combined with 'all other',Combined with 'all other',Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,35069055,1229398,13926080,1408460,13574040,28908580,21,9030,Not available,Not available,Not available,Not available,Not available,13250,7752,42695,4779,19928,1510,28252,238666,2461378,491793,0,865263,6200,562,2619,799,8,1077,25417329,3491251,4931077,12495074,6462452,26967,1361996,348038,185068,4110553
GRANT,40053,1,25289,648859,287770,4387650,846,20289,2771,24805,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,49871,79326,0,103,27363,2206,5775,412,34,2601,9780,21086,17352,202529,15728,8085,Not published for this unit,Not published for this unit,0,0,0,4,3734,3886,7643,10321,322,21685,498,0,0,Not published for this unit,Not published for this unit,2713,2645,68,2502,210,1,2,10,14,52,156,1247,392,737,99,4,636160,618972,460851,6522,151599,158121,1534,365420,265162,1097,437,1,17,4023,3180,1162,249529,192509,601,45,422,65,3,26,0,Combined with 'all other',Combined with 'all other',Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,49254656,3415612,23836116,319000,17560432,41715548,13,3825,Not available,Not available,Not available,Not available,Not available,19757,4903,35155,4527,11378,8109,16351,241347,2411598,262481,185,1004256,60066,201,334,268,3,237,36561888,5153660,4123496,12074364,10334833,6189,1516614,157359,59347,22
GREER,40055,1,8521,364070,51657,838282,522,15272,608,8063,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,19046,39862,18,26,3262,332,229,162,61,20,200,13410,13088,249898,48892,34289,Not published for this unit,Not published for this unit,22,396,98,1435,322,492,14603,33653,125,8721,161,59566,24505,Not published for this unit,Not published for this unit,1865,1819,46,1802,58,5,0,16,28,63,274,929,201,274,65,15,412160,365883,206877,5035,153971,159006,980,209962,112171,652,328,1,6,3251,2541,879,152670,92165,712,87,21,58,0,1,4,Combined with 'all other',Combined with 'all other',Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,16748607,845302,7751643,191150,5580830,13523623,10,3661,Not available,Not available,Not available,Not available,Not available,7377,4205,17322,2207,8868,1893,11493,128841,1186667,294646,50,378936,10068,357,541,359,0,331,11500810,2022813,2379682,9024571,3593781,11574,584931,130040,72364,4631881
HARMON,40057,1,6730,304727,39710,631208,262,8547,101,2234,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,12594,21466,0,39,2956,229,74,876,67,0,0,9724,9679,197477,53433,45130,Not published for this unit,Not published for this unit,38,99,94,2372,45,52,8303,13045,62,3140,23,55147,23002,Not published for this unit,Not published for this unit,1512,1473,39,1501,9,2,0,4,7,40,198,784,188,243,38,10,350720,302344,187700,411,114233,114644,887,198812,117025,700,187,0,5,870,536,620,102662,70139,552,48,3,17,0,0,2,Combined with 'all other',Combined with 'all other',Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,13339211,691913,6747735,38000,3844483,10630218,11,5514,Not available,Not available,Not available,Not available,Not available,5671,3483,11025,1358,6820,113,13068,105226,805336,287469,0,334249,100,224,369,188,0,509,8764887,1865331,2017080,8413857,3562047,6025,363973,95790,49054,4336968
HARPER,40059,1,7130,197165,121638,1458248,2786,70940,1010,12453,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,29005,41035,160,123,3607,757,2032,784,55,650,1919,8558,7260,86467,71642,52203,Not published for this unit,Not published for this unit,4,23,1,20,1298,1710,19439,27770,113,5873,18,0,0,Not published for this unit,Not published for this unit,1426,1401,25,1392,34,0,0,2,3,25,47,418,166,509,197,59,661120,558957,256059,609,302289,302898,1045,433165,195181,632,413,0,11,25258,3265,370,100534,57613,278,28,9,14,0,41,0,Combined with 'all other',Combined with 'all other',Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,16216789,975517,9580202,310100,2629785,12520087,8,3075,Not available,Not available,Not available,Not available,Not available,9422,2948,35592,4660,6795,480,10413,105817,1318101,137745,0,407915,2420,130,154,74,0,68,10776880,1743207,2721185,5032399,4290624,32288,609808,47016,14399,38264
HASKELL,40061,0,22314,482647,1512,10697,124,1025,5,25,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,12219,18490,0,10,1055,1008,5880,1103,425,109,322,41731,41587,822831,2732,257,Not published for this unit,Not published for this unit,70,404,89,1733,144,152,2475,3754,465,32923,36,44441,14671,Not published for this unit,Not published for this unit,2529,2468,61,2398,10,121,5,21,63,859,902,518,84,50,20,7,393600,217747,146466,48614,22667,71281,845,91955,53761,672,173,89,7,3535,1657,1677,122257,91048,1369,122,27,130,0,29,32,Combined with 'all other',Combined with 'all other',Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,10844252,528900,3414230,118400,4929205,8461835,28,2737,Not available,Not available,Not available,Not available,Not available,5161,4795,17436,2211,6835,12,16692,97646,801007,323024,0,409612,0,364,786,467,1,677,6990696,1471139,1853517,5009807,1525329,6170,313578,268717,120383,2775630
HUGHES,40063,0,18729,661569,2857,34978,105,2291,42,193,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,16390,21323,34,14,974,712,6336,2397,411,41,102,51089,50973,1054883,5474,139,Not published for this unit,Not published for this unit,20,67,169,4799,116,124,5335,8749,467,32228,36,77837,29072,Not published for this unit,Not published for this unit,3191,3128,63,2841,2,348,3,24,43,873,1183,835,126,80,16,8,505600,323504,184294,91491,47719,139210,1229,136589,74550,905,324,175,8,11874,1874,1954,175041,107870,1520,148,15,264,1,6,173,Combined with 'all other',Combined with 'all other',Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,20559468,1207555,8116541,371870,8146026,16634437,24,4637,Not available,Not available,Not available,Not available,Not available,7386,5881,23301,2936,11396,35,21514,128129,1417686,450236,0,569701,1305,518,1013,630,0,979,13808115,2826322,2717476,8414414,2035182,12214,337896,340239,193557,5495326
JACKSON,40065,1,11872,501924,94460,1623911,655,21919,248,4333,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,16893,25172,0,50,6668,306,248,345,9,15,100,13538,13436,325044,46098,36952,Not published for this unit,Not published for this unit,54,241,58,809,102,116,9146,15024,131,7781,26,118505,51883,Not published for this unit,Not published for this unit,2444,2392,52,2413,23,8,2,20,10,81,459,1287,223,324,35,3,497920,419260,303658,2232,113370,115602,1110,203568,137496,921,189,2,8,3865,1132,1326,211827,165030,1173,122,7,24,0,0,6,Combined with 'all other',Combined with 'all other',Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,24391085,1106229,9724491,99050,10716331,20539872,16,5911,Not available,Not available,Not available,Not available,Not available,9265,5058,14978,1883,10080,1052,12423,151151,1209425,334493,0,460343,2974,403,862,494,4,1005,17586341,2953531,2744984,16148020,5760524,4475,430444,144119,33643,9774815
JEFFERSON,40067,1,15168,509642,15159,226851,305,7139,257,2162,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,15943,18889,12,0,47,2907,818,855,143,0,0,20956,20823,502010,12047,1025,Not published for this unit,Not published for this unit,2,25,127,2523,133,129,11022,12677,76,6419,731,74804,31011,Not published for this unit,Not published for this unit,1689,1644,45,1651,14,24,3,5,26,137,390,692,215,137,51,33,490880,347685,154717,28695,164273,192968,631,183972,61343,479,152,9,9,9850,1550,1049,153863,91824,781,82,56,130,0,0,15,Combined with 'all other',Combined with 'all other',Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,17444662,616542,6796623,308700,6965043,14070366,10,2645,Not available,Not available,Not available,Not available,Not available,5760,3618,33338,3822,7677,186,7105,80028,677726,215396,0,166868,840,351,681,395,0,402,12499283,1571083,2757754,7944904,1606091,6209,273978,130098,72386,5856142
JOHNSTON,40069,0,17020,520073,4367,64800,285,5643,48,553,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,13044,24337,0,0,1298,563,2924,2322,149,82,990,36850,36712,1017071,5620,79,Not published for this unit,Not published for this unit,50,659,269,7210,138,144,5541,11662,289,25563,57,51516,17345,Not published for this unit,Not published for this unit,2385,2315,70,2237,12,136,1,21,56,632,800,577,149,93,28,28,421120,313083,150231,81588,81264,162852,822,144008,55725,665,157,92,16,26060,3236,1547,143015,91270,1252,166,21,105,1,2,42,Combined with 'all other',Combined with 'all other',Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,16705709,607644,5646872,504940,7422225,13574037,21,11281,Not available,Not available,Not available,Not available,Not available,5591,5188,27698,3130,9027,82,13250,99916,879295,325769,25,398506,140,466,1039,540,0,736,12023230,1550807,2524028,6028952,1935724,19824,382710,294593,100581,3295520
KAY,40071,0,35630,719149,212654,3346800,571,10989,457,4561,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,57207,88789,70,21,22291,1727,14066,581,679,2269,8746,37653,31130,448154,17320,8346,Not published for this unit,Not published for this unit,2,20,1,21,6523,8166,8974,12948,438,29355,153,8,4,Not published for this unit,Not published for this unit,2595,2532,63,2446,115,34,2,19,34,83,247,1308,417,430,41,14,597760,554326,403131,16593,134602,151195,1351,307631,209266,987,364,29,29,12231,9295,1215,234464,184570,614,36,297,265,0,3,5,Combined with 'all other',Combined with 'all other',Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,51053052,2854911,23289520,1575100,18954560,43819180,16,2413,Not available,Not available,Not available,Not available,Not available,15587,4548,37928,4293,14609,5649,23199,244900,2726997,368435,248,1053796,34980,1203,614,456,3,440,38139268,5679912,4378961,10386210,8463255,11379,1610631,204738,95016,1191
KINGFISHER,40073,1,24052,753229,193090,2445311,1212,32449,1343,15565,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,27261,43546,0,24,9019,4285,3275,819,659,120,416,25579,23634,335150,12425,5322,Not published for this unit,Not published for this unit,339,3186,4,128,1945,2338,7103,10634,314,19404,327,3012,823,Not published for this unit,Not published for this unit,2463,2381,82,1939,236,288,0,13,21,83,235,1265,259,524,57,6,569600,501691,352854,48053,100784,148837,1494,311207,215185,1126,368,200,20,7402,4726,949,183082,132943,633,53,106,143,0,14,88,Combined with 'all other',Combined with 'all other',Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,33095225,1882619,17242175,587550,10244765,28074490,19,5347,Not available,Not available,Not available,Not available,Not available,14046,3051,32122,4214,9198,3349,16352,211411,2090015,232172,85,895916,14217,219,275,184,1,285,24417785,3656705,3138116,7688457,6416356,17360,797270,164259,134765,158447
KIOWA,40075,1,15900,641419,169811,3003667,1836,54793,880,15022,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,42018,73665,0,38,14430,261,262,683,39,110,698,12006,11588,301436,42062,16285,Not published for this unit,Not published for this unit,3,20,24,619,418,672,25777,48335,171,13316,73,60545,26067,Not published for this unit,Not published for this unit,2880,2808,72,2664,120,96,2,27,23,104,294,1552,249,545,66,18,679680,578366,348026,6896,223444,230340,1403,314445,180696,1000,403,64,13,6240,2195,1464,257681,165135,1010,128,78,247,0,1,32,Combined with 'all other',Combined with 'all other',Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,29488778,1705670,13051750,163400,10722780,23937930,15,3585,Not available,Not available,Not available,Not available,Not available,14122,5151,32954,4111,15793,1191,16917,203454,2458802,347510,929,573744,2439,587,1102,708,6,543,20384827,3553103,3845178,14237587,7869967,2363,1219793,156503,43400,4945561
LATIMER,40077,0,3223,70684,949,6650,14,222,5,58,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,6567,8198,10,3,112,185,2987,1665,34,0,0,16289,16146,341605,1427,5,Not published for this unit,Not published for this unit,52,240,73,1272,143,108,1422,2612,183,15243,25,11149,3938,Not published for this unit,Not published for this unit,1334,1295,39,1230,20,84,1,16,76,570,341,216,58,37,11,8,470400,116382,52061,42198,22123,64321,649,69570,27703,537,112,64,9,4085,360,676,42727,23998,521,55,9,89,0,2,20,Combined with 'all other',Combined with 'all other',Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,4964408,226706,2245080,66250,1474535,3785865,17,1426,Not available,Not available,Not available,Not available,Not available,3069,1910,10527,1612,3838,120,10865,50593,449426,161725,0,164459,762,433,783,428,0,998,2940590,845275,951837,1599377,532362,4126,128888,151026,33378,749597
LE FLORE,40079,0,7686,140697,2397,16225,23,300,60,602,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,23258,26125,35,23,943,1838,8701,6770,445,0,0,62618,62202,1219914,4125,58,Not published for this unit,Not published for this unit,390,976,202,3080,416,331,4067,5514,1441,128158,115,68627,23585,Not published for this unit,Not published for this unit,4931,4774,157,4533,25,373,3,52,295,2185,1493,656,126,93,25,3,1032960,343661,203877,115356,24428,139784,1922,169831,85237,1633,289,210,9,3997,1093,3000,169833,117547,2290,394,42,274,0,0,162,Combined with 'all other',Combined with 'all other',Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,17767549,880563,6238786,158265,7287177,13684228,213,15456,Not available,Not available,Not available,Not available,Not available,8292,8033,34671,4218,16836,573,33632,171739,1638677,583904,60,733033,2873,1027,2792,1314,3,2701,10063838,3620390,3202758,7509546,1796513,11554,434204,677202,122158,4467915
LINCOLN,40081,0,27268,742234,6369,85212,828,19744,99,953,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,Not published for this unit,53189,68883,10,85,12408,3769,11406,3214,759,408,2376,39392,36212,702407,32320,14416,Not published for this unit,Not published for this unit,153,1076,267,4723,3180,3061,17904,19856,539,34631,117,101080,35875,Not published for this unit,Not published for this unit,4545,4376,169,3778,225,542,1,42,62,392,1441,2330,154,118,5,0,613760,561515,308742,167282,85491,252773,2253,283988,155739,1993,260,194,1,157,60,2291,277370,152943,1393,226,32,614,3,23,348,Combined with 'all other',Combined with 'all other',Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,28194080,1400018,12422547,10000,10937995,23370542,21,2768,Not available,Not available,Not available,Not available,Not available,13618,6685,29356,4025,20205,1044,17602,230651,2810579,429314,65,763335,2547,585,1035,681,2,560,18880735,4489807,3423520,10646358,1931519,19692,1212283,346321,367826,6768717
